Family_ID	Feature_Type	Size	Genome_Count	Genome_Percentage	Classification	Representative	Rep_Sequence_Length	Min_Length	Max_Length	Mean_Length	Sequence_Diversity	Length_Variance
FAM_P77	P	6	6	100.0%	core	P2U8	1452	1452	1452	1452.0	0.667	0.0
FAM_P78	P	6	6	100.0%	core	P2V4	1047	1047	1047	1047.0	0.667	0.0
FAM_P79	P	6	6	100.0%	core	P2WU	585	585	585	585.0	0.667	0.0
FAM_P80	P	6	6	100.0%	core	P2XP	438	438	438	438.0	0.667	0.0
FAM_P81	P	6	6	100.0%	core	P2Z8	1161	1161	1161	1161.0	0.667	0.0
FAM_P82	P	6	6	100.0%	core	P302	1029	1029	1029	1029.0	0.667	0.0
FAM_P83	P	6	6	100.0%	core	P321	516	516	516	516.0	0.667	0.0
FAM_P84	P	6	6	100.0%	core	P32Y	690	690	690	690.0	0.667	0.0
FAM_P85	P	6	6	100.0%	core	P33T	336	336	336	336.0	0.500	0.0
FAM_P86	P	6	6	100.0%	core	P34P	1437	1437	1437	1437.0	0.667	0.0
FAM_P87	P	6	6	100.0%	core	P35N	1260	1260	1260	1260.0	0.667	0.0
FAM_P88	P	6	6	100.0%	core	P37E	1656	1656	1656	1656.0	0.833	0.0
FAM_P89	P	3	3	50.0%	accessory	P39U	102	102	102	102.0	0.667	0.0
FAM_P90	P	6	6	100.0%	core	P3AO	1656	1656	1665	1662.0	0.833	21.6
FAM_P91	P	6	6	100.0%	core	P3BK	969	969	969	969.0	0.833	0.0
FAM_P92	P	3	3	50.0%	accessory	P7GK	564	564	564	564.0	0.667	0.0
FAM_P93	P	6	6	100.0%	core	P2I6	822	822	822	822.0	0.500	0.0
FAM_P94	P	2	2	33.3%	accessory	P7US	1047	1047	1047	1047.0	1.000	0.0
FAM_P95	P	6	6	100.0%	core	P28F	981	981	981	981.0	0.500	0.0
SING_P878	P	1	1	16.7%	accessory	P878	1638	1638	1638	1638.0	1.000	0.0
SING_P8CK	P	1	1	16.7%	accessory	P8CK	336	336	336	336.0	1.000	0.0
FAM_P96	P	8	6	100.0%	core	P3JO	555	129	594	510.4	0.875	23933.4
SING_P8KK	P	1	1	16.7%	accessory	P8KK	225	225	225	225.0	1.000	0.0
SING_P8LG	P	1	1	16.7%	accessory	P8LG	258	258	258	258.0	1.000	0.0
FAM_P97	P	6	6	100.0%	core	P1NV	228	228	228	228.0	0.333	0.0
SING_P8V8	P	1	1	16.7%	accessory	P8V8	2166	2166	2166	2166.0	1.000	0.0
FAM_P98	P	5	5	83.3%	accessory	P4KB	249	186	270	228.0	0.800	1543.5
SING_P9K4	P	1	1	16.7%	accessory	P9K4	546	546	546	546.0	1.000	0.0
SING_P9QC	P	1	1	16.7%	accessory	P9QC	93	93	93	93.0	1.000	0.0
SING_P9VO	P	1	1	16.7%	accessory	P9VO	303	303	303	303.0	1.000	0.0
SING_PA10	P	1	1	16.7%	accessory	PA10	1236	1236	1236	1236.0	1.000	0.0
SING_PAIS	P	1	1	16.7%	accessory	PAIS	123	123	123	123.0	1.000	0.0
SING_PALG	P	1	1	16.7%	accessory	PALG	1179	1179	1179	1179.0	1.000	0.0
SING_PAN8	P	1	1	16.7%	accessory	PAN8	399	399	399	399.0	1.000	0.0
SING_PAPW	P	1	1	16.7%	accessory	PAPW	1269	1269	1269	1269.0	1.000	0.0
SING_PATG	P	1	1	16.7%	accessory	PATG	1569	1569	1569	1569.0	1.000	0.0
SING_PAUC	P	1	1	16.7%	accessory	PAUC	1359	1359	1359	1359.0	1.000	0.0
FAM_P99	P	2	2	33.3%	accessory	PAXW	1554	1554	1554	1554.0	1.000	0.0
SING_PAZO	P	1	1	16.7%	accessory	PAZO	1350	1350	1350	1350.0	1.000	0.0
SING_PB1G	P	1	1	16.7%	accessory	PB1G	429	429	429	429.0	1.000	0.0
SING_PB50	P	1	1	16.7%	accessory	PB50	474	474	474	474.0	1.000	0.0
SING_PB6S	P	1	1	16.7%	accessory	PB6S	906	906	906	906.0	1.000	0.0
FAM_P100	P	4	2	33.3%	accessory	P45J	588	588	588	588.0	0.500	0.0
FAM_P101	P	6	6	100.0%	core	P15M	948	948	1419	1262.0	0.833	59157.6
FAM_P102	P	5	5	83.3%	accessory	P14R	1383	1383	1383	1383.0	0.600	0.0
FAM_P103	P	6	6	100.0%	core	P133	669	669	669	669.0	0.833	0.0
FAM_P104	P	6	6	100.0%	core	P11P	2640	2640	2640	2640.0	0.667	0.0
FAM_P105	P	6	6	100.0%	core	P180	720	720	720	720.0	0.667	0.0
FAM_P106	P	6	6	100.0%	core	P18U	861	861	861	861.0	0.667	0.0
FAM_P107	P	6	6	100.0%	core	P19Q	765	765	765	765.0	0.667	0.0
FAM_P108	P	6	6	100.0%	core	P1AM	294	294	294	294.0	0.667	0.0
FAM_P109	P	6	6	100.0%	core	P1CF	552	552	552	552.0	0.833	0.0
FAM_P110	P	6	6	100.0%	core	P1E2	240	240	240	240.0	0.667	0.0
FAM_P111	P	6	6	100.0%	core	P1EW	1443	1443	1443	1443.0	0.667	0.0
FAM_P112	P	6	6	100.0%	core	P1FS	1662	1662	1662	1662.0	0.667	0.0
FAM_P113	P	6	6	100.0%	core	P1HM	921	921	921	921.0	0.833	0.0
FAM_P114	P	6	4	66.7%	accessory	P4DI	906	906	906	906.0	0.500	0.0
FAM_P115	P	6	6	100.0%	core	P1KB	444	444	444	444.0	0.833	0.0
FAM_P116	P	6	6	100.0%	core	P1LB	1053	1053	1053	1053.0	0.833	0.0
FAM_P117	P	8	4	66.7%	accessory	P3XY	183	183	183	183.0	0.625	0.0
FAM_P118	P	6	6	100.0%	core	P1MK	399	399	399	399.0	0.667	0.0
FAM_P119	P	6	6	100.0%	core	P1NG	1467	1467	1476	1470.0	0.667	21.6
FAM_P120	P	6	6	100.0%	core	P1OD	264	264	264	264.0	0.667	0.0
FAM_P121	P	6	6	100.0%	core	P1PB	1359	1359	1359	1359.0	0.667	0.0
FAM_P122	P	6	6	100.0%	core	P1T1	945	945	945	945.0	0.667	0.0
FAM_P123	P	6	6	100.0%	core	P1TZ	2016	2016	2016	2016.0	0.833	0.0
FAM_P124	P	6	6	100.0%	core	P1V5	1188	1188	1188	1188.0	0.667	0.0
FAM_P125	P	5	5	83.3%	accessory	P1W1	948	948	948	948.0	0.600	0.0
FAM_P126	P	6	6	100.0%	core	P1WX	1275	1275	1275	1275.0	0.833	0.0
FAM_P127	P	5	5	83.3%	accessory	P1XP	1203	1203	1203	1203.0	0.600	0.0
FAM_P128	P	6	6	100.0%	core	P1YK	576	576	576	576.0	0.167	0.0
FAM_P129	P	6	6	100.0%	core	P1ZH	1362	1362	1362	1362.0	0.667	0.0
FAM_P130	P	6	6	100.0%	core	P212	2145	2145	2145	2145.0	0.833	0.0
FAM_P131	P	6	6	100.0%	core	P21Y	1134	1134	1134	1134.0	0.667	0.0
FAM_P132	P	6	6	100.0%	core	P22W	762	762	762	762.0	0.667	0.0
FAM_P133	P	6	6	100.0%	core	P23P	786	786	786	786.0	0.833	0.0
FAM_P134	P	5	5	83.3%	accessory	P26N	1401	1401	1401	1401.0	0.600	0.0
FAM_P135	P	6	6	100.0%	core	P28A	708	708	708	708.0	0.667	0.0
FAM_P136	P	6	6	100.0%	core	P2A3	828	828	828	828.0	0.667	0.0
FAM_P137	P	6	6	100.0%	core	P2AU	654	654	654	654.0	0.667	0.0
FAM_P138	P	6	6	100.0%	core	P2BW	2352	2352	2352	2352.0	0.833	0.0
FAM_P139	P	6	6	100.0%	core	P2CS	2295	2295	2295	2295.0	0.667	0.0
FAM_P140	P	6	6	100.0%	core	P2DQ	1041	1041	1041	1041.0	0.667	0.0
FAM_P141	P	6	6	100.0%	core	P2FP	690	690	690	690.0	0.667	0.0
FAM_P142	P	6	6	100.0%	core	P2GL	243	243	243	243.0	0.667	0.0
FAM_P143	P	6	6	100.0%	core	P2HH	426	426	426	426.0	0.667	0.0
FAM_P144	P	3	3	50.0%	accessory	P6IC	195	195	195	195.0	0.667	0.0
FAM_P145	P	6	6	100.0%	core	P2KQ	2322	2322	2322	2322.0	0.833	0.0
FAM_P146	P	6	6	100.0%	core	P2MP	402	402	402	402.0	0.667	0.0
FAM_P147	P	6	6	100.0%	core	P2NH	531	531	531	531.0	0.667	0.0
FAM_P148	P	6	6	100.0%	core	P2O8	2619	2619	2619	2619.0	0.667	0.0
FAM_P149	P	6	6	100.0%	core	P2OZ	2070	2070	2070	2070.0	0.833	0.0
FAM_P150	P	6	6	100.0%	core	P2Q4	363	363	465	380.0	0.667	1734.0
FAM_P151	P	4	4	66.7%	accessory	P6RD	798	798	798	798.0	0.750	0.0
FAM_P152	P	6	6	100.0%	core	P2T5	1647	1647	1647	1647.0	0.667	0.0
FAM_P153	P	6	6	100.0%	core	P2TX	1542	1542	1542	1542.0	0.667	0.0
FAM_P154	P	6	6	100.0%	core	P2UT	894	891	975	907.0	0.667	1111.2
FAM_P155	P	6	6	100.0%	core	P2VP	825	825	825	825.0	0.667	0.0
FAM_P156	P	6	6	100.0%	core	P2WJ	489	489	489	489.0	0.667	0.0
FAM_P157	P	5	5	83.3%	accessory	P2XF	1386	1386	1386	1386.0	0.600	0.0
FAM_P158	P	6	6	100.0%	core	P2Y8	1260	1260	1260	1260.0	0.667	0.0
FAM_P159	P	6	6	100.0%	core	P2Z1	531	531	531	531.0	0.667	0.0
FAM_P160	P	6	6	100.0%	core	P30N	1065	1065	1065	1065.0	0.667	0.0
FAM_P161	P	6	6	100.0%	core	P32D	357	357	357	357.0	0.667	0.0
FAM_P162	P	6	6	100.0%	core	P35Y	639	639	639	639.0	0.833	0.0
FAM_P163	P	6	6	100.0%	core	P36T	555	555	558	556.0	0.667	2.4
FAM_P164	P	3	3	50.0%	accessory	P7CF	6342	6342	6342	6342.0	0.667	0.0
FAM_P165	P	6	6	100.0%	core	P3A3	258	258	267	262.5	0.833	24.3
FAM_P166	P	6	6	100.0%	core	P3AZ	678	678	678	678.0	0.833	0.0
FAM_P167	P	6	6	100.0%	core	P3BV	690	690	690	690.0	0.833	0.0
FAM_P168	P	6	6	100.0%	core	P3CS	951	951	951	951.0	0.833	0.0
FAM_P169	P	6	6	100.0%	core	P1L	2907	2907	2907	2907.0	0.667	0.0
FAM_P170	P	6	6	100.0%	core	P2H	921	921	921	921.0	0.667	0.0
FAM_P171	P	6	6	100.0%	core	P3D	663	663	663	663.0	0.667	0.0
FAM_P172	P	6	6	100.0%	core	P3GC	801	801	801	801.0	0.667	0.0
FAM_P173	P	6	6	100.0%	core	P3J0	294	294	294	294.0	0.667	0.0
FAM_P174	P	19	3	50.0%	accessory	P3KS	381	381	381	381.0	0.211	0.0
FAM_P175	P	6	6	100.0%	core	P3MK	3075	3075	3075	3075.0	0.667	0.0
FAM_P176	P	6	6	100.0%	core	P3NG	309	309	309	309.0	0.500	0.0
FAM_P177	P	6	6	100.0%	core	P3P8	2355	2355	2355	2355.0	0.833	0.0
FAM_P178	P	6	6	100.0%	core	P3Q4	606	606	606	606.0	0.667	0.0
FAM_P179	P	6	6	100.0%	core	P3R0	594	594	594	594.0	0.667	0.0
FAM_P180	P	6	6	100.0%	core	P3RW	867	867	867	867.0	0.667	0.0
FAM_P181	P	6	6	100.0%	core	P3TN	1464	1464	1464	1464.0	0.833	0.0
FAM_P182	P	6	6	100.0%	core	P3VF	765	765	765	765.0	0.667	0.0
FAM_P183	P	6	6	100.0%	core	P3X7	942	942	942	942.0	0.667	0.0
FAM_P184	P	6	6	100.0%	core	P3ZV	261	261	261	261.0	0.500	0.0
FAM_P185	P	6	6	100.0%	core	P40R	912	912	912	912.0	0.667	0.0
FAM_P186	P	4	2	33.3%	accessory	P457	747	741	747	744.0	0.500	12.0
FAM_P187	P	6	6	100.0%	core	P470	1074	1074	1074	1074.0	0.667	0.0
FAM_P188	P	6	4	66.7%	accessory	P47W	165	165	165	165.0	0.500	0.0
FAM_P189	P	4	4	66.7%	accessory	P4CC	957	957	957	957.0	0.500	0.0
FAM_P190	P	6	6	100.0%	core	P4E4	333	333	333	333.0	0.667	0.0
FAM_P191	P	4	4	66.7%	accessory	P4F0	1206	1206	1206	1206.0	0.750	0.0
FAM_P192	P	6	6	100.0%	core	P4FW	1305	1305	1305	1305.0	0.667	0.0
FAM_P193	P	6	2	33.3%	accessory	P4GS	105	105	105	105.0	0.333	0.0
FAM_P194	P	5	2	33.3%	accessory	P4OD	3081	3081	3081	3081.0	0.600	0.0
FAM_P195	P	7	5	83.3%	accessory	P48W	294	294	294	294.0	0.714	0.0
FAM_P196	P	6	6	100.0%	core	P4M4	354	354	354	354.0	0.667	0.0
FAM_P197	P	6	6	100.0%	core	P4N0	399	399	399	399.0	0.667	0.0
FAM_P198	P	21	3	50.0%	accessory	P3KT	348	348	348	348.0	0.143	0.0
FAM_P199	P	6	6	100.0%	core	P4PO	327	327	327	327.0	0.667	0.0
FAM_P200	P	2	2	33.3%	accessory	P7GW	9510	9510	9510	9510.0	1.000	0.0
SING_PFGK	P	1	1	16.7%	accessory	PFGK	2352	2352	2352	2352.0	1.000	0.0
SING_PFIC	P	1	1	16.7%	accessory	PFIC	93	93	93	93.0	1.000	0.0
FAM_P201	P	6	6	100.0%	core	P2I3	702	702	702	702.0	0.167	0.0
SING_PFS4	P	1	1	16.7%	accessory	PFS4	831	831	831	831.0	1.000	0.0
FAM_P202	P	2	2	33.3%	accessory	P82P	606	606	606	606.0	1.000	0.0
SING_PG9W	P	1	1	16.7%	accessory	PG9W	1275	1275	1275	1275.0	1.000	0.0
FAM_P203	P	6	6	100.0%	core	P1WM	153	153	153	153.0	0.500	0.0
SING_PGQS	P	1	1	16.7%	accessory	PGQS	309	309	309	309.0	1.000	0.0
FAM_P204	P	6	6	100.0%	core	P1HU	852	852	852	852.0	0.833	0.0
FAM_P205	P	6	6	100.0%	core	P14I	216	216	216	216.0	0.500	0.0
SING_PH8K	P	1	1	16.7%	accessory	PH8K	297	297	297	297.0	1.000	0.0
SING_PHC4	P	1	1	16.7%	accessory	PHC4	309	309	309	309.0	1.000	0.0
SING_PHES	P	1	1	16.7%	accessory	PHES	375	375	375	375.0	1.000	0.0
SING_PHMS	P	1	1	16.7%	accessory	PHMS	504	504	504	504.0	1.000	0.0
SING_PHNO	P	1	1	16.7%	accessory	PHNO	996	996	996	996.0	1.000	0.0
SING_PHT0	P	1	1	16.7%	accessory	PHT0	1698	1698	1698	1698.0	1.000	0.0
SING_PHXG	P	1	1	16.7%	accessory	PHXG	2349	2349	2349	2349.0	1.000	0.0
FAM_P206	P	6	6	100.0%	core	P4JA	363	177	363	332.0	0.500	5766.0
FAM_P207	P	4	4	66.7%	accessory	P3KX	927	927	927	927.0	1.000	0.0
SING_PI6C	P	1	1	16.7%	accessory	PI6C	210	210	210	210.0	1.000	0.0
FAM_P208	P	2	2	33.3%	accessory	PAHC	1260	1245	1260	1252.5	1.000	112.5
FAM_P209	P	6	6	100.0%	core	P325	243	243	243	243.0	0.667	0.0
SING_PIN8	P	1	1	16.7%	accessory	PIN8	525	525	525	525.0	1.000	0.0
FAM_P210	P	2	2	33.3%	accessory	PIX0	2682	2682	2682	2682.0	0.500	0.0
FAM_P211	P	2	2	33.3%	accessory	PIXW	921	921	921	921.0	0.500	0.0
SING_PIZO	P	1	1	16.7%	accessory	PIZO	2040	2040	2040	2040.0	1.000	0.0
FAM_P212	P	2	2	33.3%	accessory	P9J8	828	828	828	828.0	1.000	0.0
SING_PJ8K	P	1	1	16.7%	accessory	PJ8K	213	213	213	213.0	1.000	0.0
SING_PJ9G	P	1	1	16.7%	accessory	PJ9G	258	258	258	258.0	1.000	0.0
SING_PJAC	P	1	1	16.7%	accessory	PJAC	474	474	474	474.0	1.000	0.0
FAM_P213	P	6	6	100.0%	core	P2SZ	2415	2415	2415	2415.0	0.667	0.0
FAM_P214	P	3	3	50.0%	accessory	P2PJ	1278	1278	1278	1278.0	1.000	0.0
FAM_P215	P	6	6	100.0%	core	P2ON	699	699	699	699.0	0.667	0.0
FAM_P216	P	6	6	100.0%	core	P2NT	1398	1398	1398	1398.0	0.667	0.0
SING_PJIC	P	1	1	16.7%	accessory	PJIC	1449	1449	1449	1449.0	1.000	0.0
FAM_P217	P	6	6	100.0%	core	P2KF	2136	2124	2136	2130.0	0.667	43.2
FAM_P218	P	6	6	100.0%	core	P2JJ	2544	2544	2544	2544.0	0.667	0.0
FAM_P219	P	3	3	50.0%	accessory	P2IN	462	462	462	462.0	0.667	0.0
FAM_P220	P	6	6	100.0%	core	P2GW	222	222	222	222.0	0.667	0.0
FAM_P221	P	6	6	100.0%	core	P2G0	1368	1368	1368	1368.0	0.667	0.0
FAM_P222	P	6	6	100.0%	core	P2DA	456	456	1134	1021.0	0.833	76614.0
FAM_P223	P	6	6	100.0%	core	P2CG	300	300	300	300.0	0.500	0.0
FAM_P224	P	6	6	100.0%	core	P2BK	1842	1842	1842	1842.0	0.833	0.0
FAM_P225	P	6	6	100.0%	core	P29Q	288	288	288	288.0	0.500	0.0
FAM_P226	P	6	6	100.0%	core	P28R	276	276	276	276.0	0.500	0.0
FAM_P227	P	6	6	100.0%	core	P27V	1020	1020	1020	1020.0	0.667	0.0
FAM_P228	P	8	2	33.3%	accessory	P1TM	1113	1113	1113	1113.0	0.250	0.0
FAM_P229	P	6	6	100.0%	core	P25K	762	762	762	762.0	0.667	0.0
FAM_P230	P	6	6	100.0%	core	P24O	918	918	918	918.0	0.667	0.0
FAM_P231	P	6	6	100.0%	core	P23S	672	672	672	672.0	0.667	0.0
FAM_P232	P	6	6	100.0%	core	P22X	1050	1050	1050	1050.0	0.667	0.0
FAM_P233	P	6	6	100.0%	core	P221	1014	1014	1014	1014.0	0.833	0.0
FAM_P234	P	6	6	100.0%	core	P213	960	960	960	960.0	0.667	0.0
SING_PK5G	P	1	1	16.7%	accessory	PK5G	327	327	327	327.0	1.000	0.0
FAM_P235	P	6	6	100.0%	core	P1VQ	699	699	699	699.0	0.667	0.0
FAM_P236	P	6	6	100.0%	core	P1UL	450	450	450	450.0	0.667	0.0
FAM_P237	P	6	6	100.0%	core	P1RR	279	279	279	279.0	0.667	0.0
FAM_P238	P	6	6	100.0%	core	P1QV	651	651	651	651.0	0.667	0.0
FAM_P239	P	6	6	100.0%	core	P1PZ	858	858	858	858.0	0.667	0.0
FAM_P240	P	6	6	100.0%	core	P1P3	723	723	723	723.0	0.667	0.0
FAM_P241	P	6	6	100.0%	core	P1O7	618	618	618	618.0	0.667	0.0
FAM_P242	P	6	6	100.0%	core	P1NA	1692	1692	1692	1692.0	0.667	0.0
SING_PKLG	P	1	1	16.7%	accessory	PKLG	1302	1302	1302	1302.0	1.000	0.0
FAM_P243	P	11	6	100.0%	core	P1IN	447	447	477	474.3	0.727	81.8
FAM_P244	P	3	3	50.0%	accessory	P8XP	1116	1074	1116	1102.0	1.000	588.0
FAM_P245	P	6	6	100.0%	core	P1G2	1425	1425	1425	1425.0	0.667	0.0
SING_PKPW	P	1	1	16.7%	accessory	PKPW	387	387	387	387.0	1.000	0.0
FAM_P246	P	6	6	100.0%	core	P1EL	2061	2061	2061	2061.0	0.667	0.0
FAM_P247	P	6	6	100.0%	core	P1DQ	579	579	579	579.0	0.667	0.0
FAM_P248	P	6	6	100.0%	core	P1CU	885	885	885	885.0	0.667	0.0
FAM_P249	P	6	6	100.0%	core	P1B2	198	198	198	198.0	0.167	0.0
FAM_P250	P	6	6	100.0%	core	P1A6	189	189	219	194.0	0.667	150.0
FAM_P251	P	6	6	100.0%	core	P19A	648	648	648	648.0	0.667	0.0
FAM_P252	P	6	6	100.0%	core	P18E	1593	1593	1593	1593.0	0.667	0.0
FAM_P253	P	6	6	100.0%	core	P17J	615	615	615	615.0	0.667	0.0
FAM_P254	P	8	6	100.0%	core	P13Y	570	123	570	426.8	0.625	38172.2
FAM_P255	P	5	5	83.3%	accessory	P10U	810	810	810	810.0	0.800	0.0
FAM_P256	P	6	6	100.0%	core	P4QV	1083	969	1083	1064.0	0.833	2166.0
FAM_P257	P	6	6	100.0%	core	P4LI	1419	1419	1419	1419.0	0.667	0.0
FAM_P258	P	4	4	66.7%	accessory	P9IX	681	681	1524	1313.2	1.000	177662.2
FAM_P259	P	6	6	100.0%	core	P4I6	1122	1122	1122	1122.0	0.667	0.0
FAM_P260	P	6	6	100.0%	core	P4FJ	810	810	810	810.0	0.667	0.0
FAM_P261	P	6	6	100.0%	core	P4EN	561	561	561	561.0	0.667	0.0
FAM_P262	P	9	4	66.7%	accessory	P1L1	300	300	300	300.0	0.333	0.0
FAM_P263	P	6	6	100.0%	core	P474	1173	1173	1173	1173.0	0.667	0.0
FAM_P264	P	3	3	50.0%	accessory	PHNR	909	909	909	909.0	0.667	0.0
FAM_P265	P	6	6	100.0%	core	P41Y	831	831	831	831.0	0.667	0.0
FAM_P266	P	3	2	33.3%	accessory	P9WJ	171	171	189	183.0	0.667	108.0
