Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
FAM_P121,1_2207,hypothetical protein,6,6
FAM_P122,1_2341,hypothetical protein,6,6
FAM_P123,1_2375,hypothetical protein,6,6
FAM_P124,1_2417,hypothetical protein,6,6
FAM_P125,1_2449,hypothetical protein,5,5
FAM_P126,1_2481,hypothetical protein,6,6
FAM_P127,1_2509,hypothetical protein,5,5
FAM_P128,1_2540,hypothetical protein,6,6
FAM_P129,1_2573,hypothetical protein,6,6
FAM_P130,1_2630,hypothetical protein,6,6
FAM_P131,1_2662,hypothetical protein,6,6
FAM_P132,1_2696,hypothetical protein,6,6
FAM_P133,1_2725,hypothetical protein,6,6
FAM_P134,1_2831,hypothetical protein,5,5
FAM_P135,1_2890,hypothetical protein,6,6
FAM_P136,1_2955,hypothetical protein,6,6
FAM_P137,1_2982,hypothetical protein,6,6
FAM_P138,1_3020,hypothetical protein,6,6
FAM_P139,1_3052,hypothetical protein,6,6
FAM_P140,1_3086,hypothetical protein,6,6
FAM_P141,1_3157,hypothetical protein,6,6
FAM_P142,1_3189,hypothetical protein,6,6
FAM_P143,1_3221,hypothetical protein,6,6
FAM_P144,1_4117,hypothetical protein,3,3
FAM_P145,1_3338,hypothetical protein,6,6
FAM_P146,1_3409,hypothetical protein,6,6
FAM_P147,1_3437,hypothetical protein,6,6
FAM_P148,1_3464,hypothetical protein,6,6
FAM_P149,1_3491,hypothetical protein,6,6
FAM_P150,1_3532,hypothetical protein,6,6
FAM_P151,1_4442,hypothetical protein,4,4
FAM_P152,1_3641,hypothetical protein,6,6
FAM_P153,1_3669,hypothetical protein,6,6
FAM_P154,1_3701,hypothetical protein,6,6
FAM_P155,1_3733,hypothetical protein,6,6
FAM_P156,1_3763,hypothetical protein,6,6
FAM_P157,1_3795,hypothetical protein,5,5
FAM_P158,1_3824,hypothetical protein,6,6
FAM_P159,1_3853,hypothetical protein,6,6
FAM_P160,1_3911,hypothetical protein,6,6
FAM_P161,1_3973,hypothetical protein,6,6
FAM_P162,1_4102,hypothetical protein,6,6
FAM_P163,1_4133,hypothetical protein,6,6
FAM_P164,1_5200,hypothetical protein,3,3
FAM_P165,1_4251,hypothetical protein,6,6
FAM_P166,1_4283,hypothetical protein,6,6
FAM_P167,1_4315,hypothetical protein,6,6
FAM_P168,1_29,hypothetical protein,6,6
FAM_P169,1_57,hypothetical protein,6,6
FAM_P170,1_89,hypothetical protein,6,6
FAM_P171,1_121,hypothetical protein,6,6
FAM_P172,1_157,hypothetical protein,6,6
FAM_P173,1_253,hypothetical protein,6,6
FAM_P174,1_317,hypothetical protein,3,19
FAM_P175,1_381,hypothetical protein,6,6
FAM_P176,1_413,hypothetical protein,6,6
FAM_P177,1_477,hypothetical protein,6,6
FAM_P178,1_509,hypothetical protein,6,6
FAM_P179,1_541,hypothetical protein,6,6
FAM_P180,1_573,hypothetical protein,6,6
FAM_P181,1_636,hypothetical protein,6,6
FAM_P182,1_700,hypothetical protein,6,6
FAM_P183,1_764,hypothetical protein,6,6
FAM_P184,1_860,hypothetical protein,6,6
FAM_P185,1_892,hypothetical protein,6,6
FAM_P186,1_1052,hypothetical protein,2,4
FAM_P187,1_1117,hypothetical protein,6,6
FAM_P188,1_1149,hypothetical protein,4,6
FAM_P189,1_1309,hypothetical protein,4,4
FAM_P190,1_1373,hypothetical protein,6,6
FAM_P191,1_1405,hypothetical protein,4,4
FAM_P192,1_1437,hypothetical protein,6,6
FAM_P193,1_1469,hypothetical protein,2,6
FAM_P194,1_1742,hypothetical protein,2,5
FAM_P195,1_1185,hypothetical protein,5,7
FAM_P196,1_1661,hypothetical protein,6,6
FAM_P197,1_1693,hypothetical protein,6,6
FAM_P198,1_318,hypothetical protein,3,21
FAM_P199,1_1789,hypothetical protein,6,6
FAM_P200,3_57,hypothetical protein,2,2
SING_PFGK,1_97,hypothetical protein,1,1
SING_PFIC,1_161,hypothetical protein,1,1
FAM_P201,1_3243,hypothetical protein,6,6
SING_PFS4,1_513,hypothetical protein,1,1
FAM_P202,1_758,hypothetical protein,2,2
SING_PG9W,1_1153,hypothetical protein,1,1
FAM_P203,1_2470,hypothetical protein,6,6
SING_PGQS,1_1761,hypothetical protein,1,1
FAM_P204,1_1938,hypothetical protein,6,6
FAM_P205,1_1458,hypothetical protein,6,6
SING_PH8K,1_2401,hypothetical protein,1,1
SING_PHC4,1_2529,hypothetical protein,1,1
SING_PHES,1_2625,hypothetical protein,1,1
SING_PHMS,1_2913,hypothetical protein,1,1
SING_PHNO,1_2945,hypothetical protein,1,1
SING_PHT0,1_3137,hypothetical protein,1,1
SING_PHXG,1_3297,hypothetical protein,1,1
FAM_P206,1_1559,hypothetical protein,6,6
FAM_P207,1_322,hypothetical protein,4,4
SING_PI6C,1_3617,hypothetical protein,1,1
FAM_P208,1_3877,hypothetical protein,2,2
FAM_P209,1_3965,hypothetical protein,6,6
SING_PIN8,1_4225,hypothetical protein,1,1
FAM_P210,2_12,hypothetical protein,2,2
FAM_P211,2_44,hypothetical protein,2,2
SING_PIZO,2_108,hypothetical protein,1,1
FAM_P212,1_2649,hypothetical protein,2,2
SING_PJ8K,4_2,hypothetical protein,1,1
SING_PJ9G,4_34,hypothetical protein,1,1
SING_PJAC,4_66,hypothetical protein,1,1
FAM_P213,1_3635,hypothetical protein,6,6
FAM_P214,1_3511,hypothetical protein,3,3
FAM_P215,1_3479,hypothetical protein,6,6
FAM_P216,1_3449,hypothetical protein,6,6
SING_PJIC,1_228,hypothetical protein,1,1
FAM_P217,1_3327,hypothetical protein,6,6
FAM_P218,1_3295,hypothetical protein,6,6
FAM_P219,1_3263,hypothetical protein,3,3
FAM_P220,1_3200,hypothetical protein,6,6
FAM_P221,1_3168,hypothetical protein,6,6
FAM_P222,1_3070,hypothetical protein,6,6
FAM_P223,1_3040,hypothetical protein,6,6
FAM_P224,1_3008,hypothetical protein,6,6
FAM_P225,1_2942,hypothetical protein,6,6
FAM_P226,1_2907,hypothetical protein,6,6
FAM_P227,1_2875,hypothetical protein,6,6
FAM_P228,1_2362,hypothetical protein,2,8
FAM_P229,1_2792,hypothetical protein,6,6
FAM_P230,1_2760,hypothetical protein,6,6
FAM_P231,1_2728,hypothetical protein,6,6
FAM_P232,1_2697,hypothetical protein,6,6
FAM_P233,1_2665,hypothetical protein,6,6
FAM_P234,1_2631,hypothetical protein,6,6
SING_PK5G,1_1060,hypothetical protein,1,1
FAM_P235,1_2438,hypothetical protein,6,6
FAM_P236,1_2397,hypothetical protein,6,6
FAM_P237,1_2295,hypothetical protein,6,6
FAM_P238,1_2263,hypothetical protein,6,6
FAM_P239,1_2231,hypothetical protein,6,6
FAM_P240,1_2199,hypothetical protein,6,6
FAM_P241,1_2167,hypothetical protein,6,6
FAM_P242,1_2134,hypothetical protein,6,6
SING_PKLG,1_1636,hypothetical protein,1,1
FAM_P243,1_1967,hypothetical protein,6,11
FAM_P244,1_1874,hypothetical protein,3,3
FAM_P245,1_1874,hypothetical protein,6,6
SING_PKPW,1_1796,hypothetical protein,1,1
FAM_P246,1_1821,hypothetical protein,6,6
FAM_P247,1_1790,hypothetical protein,6,6
FAM_P248,1_1758,hypothetical protein,6,6
FAM_P249,1_1694,hypothetical protein,6,6
FAM_P250,1_1662,hypothetical protein,6,6
FAM_P251,1_1630,hypothetical protein,6,6
FAM_P252,1_1598,hypothetical protein,6,6
FAM_P253,1_1567,hypothetical protein,6,6
FAM_P254,1_1438,hypothetical protein,6,8
FAM_P255,1_1326,hypothetical protein,5,5
FAM_P256,1_1832,hypothetical protein,6,6
FAM_P257,1_1639,hypothetical protein,6,6
FAM_P258,1_2638,hypothetical protein,4,4
FAM_P259,1_1519,hypothetical protein,6,6
FAM_P260,1_1424,hypothetical protein,6,6
FAM_P261,1_1392,hypothetical protein,6,6
FAM_P262,1_2053,hypothetical protein,4,9
FAM_P263,1_1121,hypothetical protein,6,6
FAM_P264,1_2948,hypothetical protein,3,3
FAM_P265,1_935,hypothetical protein,6,6
FAM_P266,1_3128,hypothetical protein,2,3
FAM_P267,1_3166,hypothetical protein,3,3
FAM_P268,1_560,hypothetical protein,6,6
FAM_P269,1_520,hypothetical protein,6,6
FAM_P270,1_454,hypothetical protein,6,6
FAM_P271,1_417,hypothetical protein,6,6
FAM_P272,1_382,hypothetical protein,6,6
SING_PLYC,1_3396,hypothetical protein,1,1
FAM_P273,1_160,hypothetical protein,6,6
FAM_P274,1_128,hypothetical protein,6,6
FAM_P275,1_92,hypothetical protein,6,6
FAM_P276,1_60,hypothetical protein,6,6
SING_PM90,1_3780,hypothetical protein,1,1
FAM_P277,1_4135,hypothetical protein,6,6
FAM_P278,1_4071,hypothetical protein,6,6
FAM_P279,1_4039,hypothetical protein,6,6
FAM_P280,1_4007,hypothetical protein,4,4
FAM_P281,1_3975,hypothetical protein,6,6
FAM_P282,1_3943,hypothetical protein,4,4
FAM_P283,1_3879,hypothetical protein,6,6
FAM_P284,1_3847,hypothetical protein,6,6
FAM_P285,1_3814,hypothetical protein,6,6
FAM_P286,1_3782,hypothetical protein,6,6
FAM_P287,1_3750,hypothetical protein,6,6
FAM_P288,1_3718,hypothetical protein,6,6
FAM_P289,1_3654,hypothetical protein,3,3
SING_PMQS,2_81,hypothetical protein,1,1
SING_PMRO,2_113,hypothetical protein,1,1
SING_PMTG,3_27,hypothetical protein,1,1
FAM_P290,2_43,hypothetical protein,2,2
FAM_P291,2_11,hypothetical protein,2,2
FAM_P292,1_101,hypothetical protein,6,6
FAM_P293,1_168,hypothetical protein,6,6
FAM_P294,1_293,hypothetical protein,4,4
FAM_P295,1_431,hypothetical protein,6,6
FAM_P296,1_467,hypothetical protein,6,6
FAM_P297,1_499,hypothetical protein,6,6
FAM_P298,1_1525,hypothetical protein,4,5
FAM_P299,1_925,hypothetical protein,6,6
FAM_P300,1_960,hypothetical protein,6,6
FAM_P301,1_1023,hypothetical protein,6,6
FAM_P302,1_1385,hypothetical protein,6,6
FAM_P303,1_1417,hypothetical protein,6,6
FAM_P304,1_2778,hypothetical protein,4,4
SING_PV9,1_1125,hypothetical protein,1,1
FAM_P305,1_1620,hypothetical protein,6,6
FAM_P306,1_1784,hypothetical protein,6,6
FAM_P307,1_1821,hypothetical protein,6,9
FAM_P308,1_1413,hypothetical protein,6,6
FAM_P309,1_1445,hypothetical protein,6,6
FAM_P310,1_1477,hypothetical protein,6,6
FAM_P311,1_1509,hypothetical protein,6,6
FAM_P312,1_1573,hypothetical protein,6,6
FAM_P313,1_1605,hypothetical protein,6,6
FAM_P314,1_1637,hypothetical protein,6,6
FAM_P315,1_1669,hypothetical protein,6,6
FAM_P316,1_1701,hypothetical protein,6,6
FAM_P317,1_1733,hypothetical protein,6,6
FAM_P318,1_1957,hypothetical protein,6,6
FAM_P319,1_2117,hypothetical protein,6,6
FAM_P320,1_2149,hypothetical protein,6,6
FAM_P321,1_71,hypothetical protein,6,6
FAM_P322,1_103,hypothetical protein,6,6
FAM_P323,1_135,hypothetical protein,3,3
FAM_P324,1_170,hypothetical protein,6,6
FAM_P325,1_202,hypothetical protein,6,6
SING_P7B,1_263,hypothetical protein,1,1
FAM_P326,1_371,hypothetical protein,6,6
FAM_P327,1_404,hypothetical protein,6,6
FAM_P328,1_433,hypothetical protein,6,6
FAM_P329,1_469,hypothetical protein,6,6
FAM_P330,1_928,hypothetical protein,6,6
FAM_P331,1_992,hypothetical protein,6,6
FAM_P332,1_1025,hypothetical protein,6,6
FAM_P333,1_2960,hypothetical protein,4,4
FAM_P334,1_1239,hypothetical protein,6,6
FAM_P335,1_1387,hypothetical protein,6,6
FAM_P336,1_1419,hypothetical protein,6,6
FAM_P337,1_1449,hypothetical protein,6,6
FAM_P338,1_1622,hypothetical protein,6,6
FAM_P339,1_1689,hypothetical protein,6,6
FAM_P340,1_1825,hypothetical protein,6,6
FAM_P341,1_1351,hypothetical protein,6,6
FAM_P342,1_1383,hypothetical protein,5,5
FAM_P343,1_1415,hypothetical protein,5,5
FAM_P344,1_1511,hypothetical protein,6,6
SING_P16V,1_1543,hypothetical protein,1,1
FAM_P345,1_1575,hypothetical protein,6,6
FAM_P346,1_1703,hypothetical protein,6,6
FAM_P347,1_1959,hypothetical protein,6,6
FAM_P348,1_2087,hypothetical protein,6,8
FAM_P349,1_2119,hypothetical protein,6,6
FAM_P350,1_2151,hypothetical protein,6,6
FAM_P351,1_2215,hypothetical protein,6,6
FAM_P352,1_2247,hypothetical protein,6,6
FAM_P353,1_2279,hypothetical protein,6,6
FAM_P354,1_2311,hypothetical protein,6,6
SING_P1UV,1_2407,hypothetical protein,1,1
SING_P207,1_2599,hypothetical protein,1,1
FAM_P355,1_2951,hypothetical protein,6,6
FAM_P356,1_3079,hypothetical protein,4,4
FAM_P357,1_3111,hypothetical protein,6,6
FAM_P358,1_3143,hypothetical protein,6,6
FAM_P359,1_3175,hypothetical protein,6,6
FAM_P360,1_1933,hypothetical protein,6,6
FAM_P361,1_1870,hypothetical protein,6,6
SING_PKPY,1_1798,hypothetical protein,1,1
FAM_P362,1_1819,hypothetical protein,6,6
FAM_P363,1_1788,hypothetical protein,6,6
FAM_P364,1_1692,hypothetical protein,6,6
FAM_P365,1_1660,hypothetical protein,6,6
FAM_P366,1_1628,hypothetical protein,6,6
FAM_P367,1_1596,hypothetical protein,6,6
FAM_P368,1_1324,hypothetical protein,5,5
FAM_P369,1_2640,hypothetical protein,4,4
FAM_P370,1_1517,hypothetical protein,6,6
FAM_P371,1_1422,hypothetical protein,6,6
FAM_P372,1_1390,hypothetical protein,6,6
FAM_P373,1_2822,hypothetical protein,1,2
FAM_P374,1_558,hypothetical protein,6,6
SING_PLYE,1_3398,hypothetical protein,1,1
SING_PLZA,1_3430,hypothetical protein,1,1
FAM_P375,1_189,hypothetical protein,6,6
SING_PM92,1_3782,hypothetical protein,1,1
FAM_P376,1_3652,hypothetical protein,2,2
SING_PMP2,2_19,hypothetical protein,1,1
SING_PMPY,2_51,hypothetical protein,1,1
FAM_P377,1_1872,hypothetical protein,4,27
SING_PMRQ,2_115,hypothetical protein,1,1
SING_PMTI,3_29,hypothetical protein,1,1
FAM_P378,2_41,hypothetical protein,2,2
FAM_P379,2_9,hypothetical protein,2,2
FAM_P380,1_172,hypothetical protein,6,6
SING_PIG6,1_3971,hypothetical protein,1,1
FAM_P381,1_4178,hypothetical protein,2,2
SING_PIME,1_4195,hypothetical protein,1,1
SING_PINA,1_4227,hypothetical protein,1,1
FAM_P382,2_14,hypothetical protein,2,2
FAM_P383,2_46,hypothetical protein,2,2
SING_PIZQ,2_110,hypothetical protein,1,1
FAM_P384,1_2651,hypothetical protein,2,2
FAM_P385,2_10,hypothetical protein,2,2
SING_PJ8M,4_4,hypothetical protein,1,1
SING_PJ9I,4_36,hypothetical protein,1,1
SING_PJAE,4_68,hypothetical protein,1,1
SING_PJBA,4_100,hypothetical protein,1,1
FAM_P386,1_3633,hypothetical protein,6,6
FAM_P387,1_3601,hypothetical protein,6,6
FAM_P388,1_3509,hypothetical protein,4,4
FAM_P389,1_3477,hypothetical protein,6,6
FAM_P390,1_3447,hypothetical protein,6,6
SING_PJIE,1_230,hypothetical protein,1,1
FAM_P391,1_3390,hypothetical protein,6,6
FAM_P392,1_3357,hypothetical protein,6,6
FAM_P393,1_3293,hypothetical protein,6,6
FAM_P394,1_3261,hypothetical protein,3,3
FAM_P395,1_3230,hypothetical protein,6,6
FAM_P396,1_3166,hypothetical protein,6,6
FAM_P397,1_3038,hypothetical protein,6,6
FAM_P398,1_3006,hypothetical protein,6,6
FAM_P399,1_2940,hypothetical protein,6,6
FAM_P400,1_2905,hypothetical protein,6,6
FAM_P401,1_2873,hypothetical protein,6,6
FAM_P402,1_2841,hypothetical protein,6,6
SING_PK5I,1_1062,hypothetical protein,1,1
FAM_P403,1_2395,hypothetical protein,6,6
FAM_P404,1_2361,hypothetical protein,6,6
FAM_P405,1_1802,hypothetical protein,2,2
FAM_P406,1_2293,hypothetical protein,6,6
FAM_P407,1_2261,hypothetical protein,6,6
FAM_P408,1_2197,hypothetical protein,6,6
FAM_P409,1_2101,hypothetical protein,6,6
SING_PKLI,1_1638,hypothetical protein,1,1
SING_PB64,2_53,hypothetical protein,1,1
FAM_P410,1_1622,hypothetical protein,5,5
FAM_P411,1_1686,hypothetical protein,6,6
FAM_P412,1_1779,hypothetical protein,5,5
FAM_P413,1_1809,hypothetical protein,6,6
FAM_P414,1_1840,hypothetical protein,6,6
FAM_P415,1_1906,hypothetical protein,4,5
FAM_P416,1_1946,hypothetical protein,6,6
FAM_P417,1_2349,hypothetical protein,6,6
FAM_P418,1_2425,hypothetical protein,6,6
FAM_P419,1_2457,hypothetical protein,5,5
FAM_P420,1_2516,hypothetical protein,6,6
FAM_P421,1_2548,hypothetical protein,6,6
FAM_P422,1_3444,hypothetical protein,3,3
FAM_P423,1_2639,hypothetical protein,6,6
FAM_P424,1_2670,hypothetical protein,6,6
FAM_P425,1_2704,hypothetical protein,6,6
FAM_P426,1_2962,hypothetical protein,6,7
FAM_P427,1_2996,hypothetical protein,6,6
FAM_P428,1_3028,hypothetical protein,6,6
FAM_P429,1_3059,hypothetical protein,6,6
FAM_P430,1_3094,hypothetical protein,6,6
FAM_P431,1_3126,hypothetical protein,6,6
FAM_P432,1_3229,hypothetical protein,6,6
FAM_P433,1_3314,hypothetical protein,6,6
FAM_P434,1_3346,hypothetical protein,6,6
FAM_P435,1_4285,hypothetical protein,3,3
FAM_P436,1_4317,hypothetical protein,4,4
FAM_P437,1_4482,hypothetical protein,2,2
FAM_P438,1_141,hypothetical protein,6,6
FAM_P439,1_269,hypothetical protein,3,3
FAM_P440,1_365,hypothetical protein,5,5
FAM_P441,1_461,hypothetical protein,6,6
FAM_P442,1_493,hypothetical protein,6,6
FAM_P443,1_525,hypothetical protein,3,3
FAM_P444,1_589,hypothetical protein,3,3
FAM_P445,1_621,hypothetical protein,6,6
FAM_P446,1_653,hypothetical protein,6,6
FAM_P447,1_685,hypothetical protein,6,6
FAM_P448,1_717,hypothetical protein,6,6
FAM_P449,1_749,hypothetical protein,3,3
FAM_P450,1_845,hypothetical protein,6,6
FAM_P451,1_877,hypothetical protein,6,6
FAM_P452,1_909,hypothetical protein,6,6
FAM_P453,1_941,hypothetical protein,6,6
FAM_P454,1_973,hypothetical protein,6,6
FAM_P455,1_1101,hypothetical protein,6,6
FAM_P456,1_1165,hypothetical protein,2,4
FAM_P457,1_1549,hypothetical protein,3,3
FAM_P458,1_1581,hypothetical protein,4,4
FAM_P459,1_1613,hypothetical protein,6,6
FAM_P460,1_1645,hypothetical protein,6,6
FAM_P461,1_1805,hypothetical protein,6,6
FAM_P462,1_1299,hypothetical protein,6,6
FAM_P463,1_1327,hypothetical protein,5,5
FAM_P464,1_1555,hypothetical protein,4,6
FAM_P465,1_2573,hypothetical protein,2,2
FAM_P466,1_2765,hypothetical protein,2,2
FAM_P467,1_1811,hypothetical protein,6,6
FAM_P468,1_1842,hypothetical protein,6,6
FAM_P469,1_1942,hypothetical protein,6,6
FAM_P470,1_1971,hypothetical protein,6,6
FAM_P471,1_2034,hypothetical protein,6,6
FAM_P472,1_2183,hypothetical protein,6,6
FAM_P473,1_2351,hypothetical protein,6,6
FAM_P474,1_2386,hypothetical protein,6,6
FAM_P475,1_2427,hypothetical protein,6,6
FAM_P476,1_2459,hypothetical protein,6,6
FAM_P477,1_2518,hypothetical protein,6,6
FAM_P478,1_2550,hypothetical protein,6,6
FAM_P479,1_2608,hypothetical protein,5,8
FAM_P480,1_2641,hypothetical protein,6,6
FAM_P481,1_2672,hypothetical protein,6,6
FAM_P482,1_2998,hypothetical protein,6,6
FAM_P483,1_3030,hypothetical protein,6,6
FAM_P484,1_3061,hypothetical protein,6,6
SING_PCTQ,1_2092,hypothetical protein,1,1
FAM_P485,1_3316,hypothetical protein,6,6
FAM_P486,1_3376,hypothetical protein,6,6
FAM_P487,1_3414,hypothetical protein,6,6
FAM_P488,1_4484,hypothetical protein,2,2
FAM_P489,1_4516,hypothetical protein,2,2
FAM_P490,1_4676,hypothetical protein,2,2
FAM_P491,1_3983,hypothetical protein,6,6
FAM_P492,1_4080,hypothetical protein,6,6
FAM_P493,1_4112,hypothetical protein,6,6
FAM_P494,1_4143,hypothetical protein,6,6
FAM_P495,1_4175,hypothetical protein,6,6
FAM_P496,1_4293,hypothetical protein,6,6
FAM_P497,1_135,hypothetical protein,2,2
FAM_P498,1_295,hypothetical protein,2,2
FAM_P499,1_806,hypothetical protein,2,2
FAM_P500,1_1062,hypothetical protein,2,2
FAM_P501,1_1159,hypothetical protein,2,2
FAM_P502,1_1191,hypothetical protein,2,2
FAM_P503,1_1255,hypothetical protein,2,2
FAM_P504,1_1287,hypothetical protein,2,2
FAM_P505,1_1799,hypothetical protein,4,4
FAM_P506,3_35,hypothetical protein,3,4
FAM_P507,3_14,hypothetical protein,2,2
SING_PFGU,1_107,hypothetical protein,1,1
SING_PG0E,1_811,hypothetical protein,1,1
SING_PGA6,1_1163,hypothetical protein,1,1
FAM_P508,1_2355,hypothetical protein,6,6
