compact_id	family_id	genome_id	feature_type
C2B	SING_C2B	E_coli_GCF_003399945_2	C
C2C	SING_C2C	E_coli_GCF_003399945_2	C
C2D	SING_C2D	E_coli_GCF_003399945_2	C
C2E	SING_C2E	E_coli_GCF_003399945_2	C
C2F	SING_C2F	E_coli_GCF_003399945_2	C
C3	SING_C3	E_coli_GCF_000005845_2	C
C4	SING_C4	E_coli_GCF_000005845_2	C
C5	SING_C5	E_coli_GCF_000005845_2	C
C6	SING_C6	E_coli_GCF_000005845_2	C
C7	SING_C7	E_coli_GCF_000005845_2	C
C8	SING_C8	E_coli_GCF_000005845_2	C
C9	SING_C9	E_coli_GCF_000005845_2	C
CA	SING_CA	E_coli_GCF_000005845_2	C
CB	SING_CB	E_coli_GCF_000005845_2	C
CC	SING_CC	E_coli_GCF_000005845_2	C
CD	SING_CD	E_coli_GCF_000005845_2	C
CE	SING_CE	E_coli_GCF_000005845_2	C
CF	SING_CF	E_coli_GCF_000005845_2	C
CG	SING_CG	E_coli_GCF_000005845_2	C
CH	SING_CH	E_coli_GCF_000005845_2	C
CI	SING_CI	E_coli_GCF_000005845_2	C
CJ	SING_CJ	E_coli_GCF_000008865_2	C
CK	SING_CK	E_coli_GCF_000008865_2	C
CL	SING_CL	E_coli_GCF_000008865_2	C
CM	SING_CM	E_coli_GCF_001280405_1	C
CN	SING_CN	E_coli_GCF_001280405_1	C
CO	SING_CO	E_coli_GCF_001280405_1	C
CP	SING_CP	E_coli_GCF_001280405_1	C
CQ	SING_CQ	E_coli_GCF_001280405_1	C
CR	SING_CR	E_coli_GCF_001280405_1	C
CS	SING_CS	E_coli_GCF_001280405_1	C
CT	SING_CT	E_coli_GCF_001280405_1	C
CU	SING_CU	E_coli_GCF_001280405_1	C
CV	SING_CV	E_coli_GCF_001280405_1	C
CW	SING_CW	E_coli_GCF_001280405_1	C
CX	SING_CX	E_coli_GCF_001280405_1	C
CY	SING_CY	E_coli_GCF_001280405_1	C
CZ	SING_CZ	E_coli_GCF_001280405_1	C
I1	FAM_I1297	E_coli_GCF_000005845_2	I
I10	FAM_I1706	E_coli_GCF_000005845_2	I
I100	FAM_I1991	E_coli_GCF_000005845_2	I
I101	FAM_I88	E_coli_GCF_000005845_2	I
I102	FAM_I884	E_coli_GCF_000005845_2	I
I103	FAM_I434	E_coli_GCF_000005845_2	I
I104	FAM_I2120	E_coli_GCF_000005845_2	I
I105	FAM_I563	E_coli_GCF_000005845_2	I
I106	FAM_I2599	E_coli_GCF_000005845_2	I
I107	FAM_I291	E_coli_GCF_000005845_2	I
I108	FAM_I631	E_coli_GCF_000005845_2	I
I109	FAM_I1801	E_coli_GCF_000005845_2	I
I10A	FAM_I234	E_coli_GCF_000005845_2	I
I10B	FAM_I1146	E_coli_GCF_000005845_2	I
I10C	FAM_I1171	E_coli_GCF_000005845_2	I
I10D	FAM_I1322	E_coli_GCF_000005845_2	I
I10E	FAM_I2722	E_coli_GCF_000005845_2	I
I10F	FAM_I1750	E_coli_GCF_000005845_2	I
I10G	FAM_I2161	E_coli_GCF_000005845_2	I
I10H	FAM_I554	E_coli_GCF_000005845_2	I
I10I	FAM_I1679	E_coli_GCF_000005845_2	I
I10J	FAM_I1946	E_coli_GCF_000005845_2	I
I10K	FAM_I2330	E_coli_GCF_000005845_2	I
I10L	FAM_I562	E_coli_GCF_000005845_2	I
I10M	FAM_I375	E_coli_GCF_000005845_2	I
I10N	FAM_I292	E_coli_GCF_000005845_2	I
I10O	FAM_I632	E_coli_GCF_000005845_2	I
I10P	FAM_I2061	E_coli_GCF_000005845_2	I
I10Q	FAM_I2245	E_coli_GCF_000005845_2	I
I10R	SING_I10R	E_coli_GCF_000005845_2	I
I10S	SING_I10S	E_coli_GCF_000005845_2	I
I10T	FAM_I1193	E_coli_GCF_000005845_2	I
I10U	FAM_I2627	E_coli_GCF_000005845_2	I
I10V	FAM_I1383	E_coli_GCF_000005845_2	I
I10W	FAM_I2748	E_coli_GCF_000005845_2	I
I10X	FAM_I89	E_coli_GCF_000005845_2	I
I10Y	FAM_I433	E_coli_GCF_000005845_2	I
I10Z	FAM_I1947	E_coli_GCF_000005845_2	I
I11	FAM_I1506	E_coli_GCF_000005845_2	I
I110	FAM_I2331	E_coli_GCF_000005845_2	I
I111	FAM_I1053	E_coli_GCF_000005845_2	I
I112	FAM_I1887	E_coli_GCF_000005845_2	I
I113	FAM_I293	E_coli_GCF_000005845_2	I
I114	FAM_I633	E_coli_GCF_000005845_2	I
I115	FAM_I2062	E_coli_GCF_000005845_2	I
I116	FAM_I1800	E_coli_GCF_000005845_2	I
I117	FAM_I1147	E_coli_GCF_000005845_2	I
I118	FAM_I1172	E_coli_GCF_000005845_2	I
I119	FAM_I1831	E_coli_GCF_000005845_2	I
I11A	FAM_I180	E_coli_GCF_000005845_2	I
I11B	FAM_I1751	E_coli_GCF_000005845_2	I
I11C	FAM_I1901	E_coli_GCF_000005845_2	I
I11D	FAM_I2857	E_coli_GCF_000005845_2	I
I11E	FAM_I432	E_coli_GCF_000005845_2	I
I11F	FAM_I1573	E_coli_GCF_000005845_2	I
I11G	FAM_I2332	E_coli_GCF_000005845_2	I
I11H	FAM_I1510	E_coli_GCF_000005845_2	I
I11I	FAM_I948	E_coli_GCF_000005845_2	I
I11J	FAM_I934	E_coli_GCF_000005845_2	I
I11K	FAM_I1122	E_coli_GCF_000005845_2	I
I11L	FAM_I2397	E_coli_GCF_000005845_2	I
I11M	FAM_I2468	E_coli_GCF_000005845_2	I
I11N	FAM_I294	E_coli_GCF_000005845_2	I
I11O	FAM_I233	E_coli_GCF_000005845_2	I
I11P	FAM_I2063	E_coli_GCF_000005845_2	I
I11Q	FAM_I2425	E_coli_GCF_000005845_2	I
I11R	FAM_I1018	E_coli_GCF_000005845_2	I
I11S	FAM_I1416	E_coli_GCF_000005845_2	I
I11T	FAM_I90	E_coli_GCF_000005845_2	I
I11U	FAM_I883	E_coli_GCF_000005845_2	I
I11V	FAM_I28	E_coli_GCF_000005845_2	I
I11W	FAM_I1752	E_coli_GCF_000005845_2	I
I11X	FAM_I1054	E_coli_GCF_000005845_2	I
I11Y	FAM_I2360	E_coli_GCF_000005845_2	I
I11Z	FAM_I1093	E_coli_GCF_000005845_2	I
I12	FAM_I591	E_coli_GCF_000005845_2	I
I120	FAM_I771	E_coli_GCF_000005845_2	I
I121	SING_I121	E_coli_GCF_000005845_2	I
I122	SING_I122	E_coli_GCF_000005845_2	I
I123	SING_I123	E_coli_GCF_000005845_2	I
I124	SING_I124	E_coli_GCF_000005845_2	I
I125	SING_I125	E_coli_GCF_000005845_2	I
I126	SING_I126	E_coli_GCF_000005845_2	I
I127	SING_I127	E_coli_GCF_000005845_2	I
I128	FAM_I2857	E_coli_GCF_000005845_2	I
I129	FAM_I91	E_coli_GCF_000005845_2	I
I12A	FAM_I2737	E_coli_GCF_000005845_2	I
I12B	FAM_I295	E_coli_GCF_000005845_2	I
I12C	FAM_I1337	E_coli_GCF_000005845_2	I
I12D	FAM_I374	E_coli_GCF_000005845_2	I
I12E	FAM_I2426	E_coli_GCF_000005845_2	I
I12F	FAM_I2160	E_coli_GCF_000005845_2	I
I12G	FAM_I675	E_coli_GCF_000005845_2	I
I12H	FAM_I553	E_coli_GCF_000005845_2	I
I12I	FAM_I2857	E_coli_GCF_000005845_2	I
I12J	FAM_I1753	E_coli_GCF_000005845_2	I
I12K	FAM_I1992	E_coli_GCF_000005845_2	I
I12L	FAM_I2361	E_coli_GCF_000005845_2	I
I12M	FAM_I1094	E_coli_GCF_000005845_2	I
I12N	FAM_I2242	E_coli_GCF_000005845_2	I
I12O	FAM_I931	E_coli_GCF_000005845_2	I
I12P	FAM_I1020	E_coli_GCF_000005845_2	I
I12Q	FAM_I1680	E_coli_GCF_000005845_2	I
I12R	FAM_I296	E_coli_GCF_000005845_2	I
I12S	FAM_I1798	E_coli_GCF_000005845_2	I
I12T	FAM_I373	E_coli_GCF_000005845_2	I
I12U	FAM_I2427	E_coli_GCF_000005845_2	I
I12V	FAM_I2159	E_coli_GCF_000005845_2	I
I12W	FAM_I674	E_coli_GCF_000005845_2	I
I12X	FAM_I552	E_coli_GCF_000005845_2	I
I12Y	FAM_I431	E_coli_GCF_000005845_2	I
I12Z	FAM_I1754	E_coli_GCF_000005845_2	I
I13	FAM_I2090	E_coli_GCF_000005845_2	I
I130	FAM_I1993	E_coli_GCF_000005845_2	I
I131	FAM_I2362	E_coli_GCF_000005845_2	I
I132	FAM_I2396	E_coli_GCF_000005845_2	I
I133	FAM_I2547	E_coli_GCF_000005845_2	I
I134	FAM_I1797	E_coli_GCF_000005845_2	I
I135	FAM_I372	E_coli_GCF_000005845_2	I
I136	FAM_I1054	E_coli_GCF_000005845_2	I
I137	FAM_I635	E_coli_GCF_000005845_2	I
I138	FAM_I2064	E_coli_GCF_000005845_2	I
I139	FAM_I2428	E_coli_GCF_000005845_2	I
I13A	FAM_I2797	E_coli_GCF_000005845_2	I
I13B	FAM_I2158	E_coli_GCF_000005845_2	I
I13C	FAM_I673	E_coli_GCF_000005845_2	I
I13D	FAM_I181	E_coli_GCF_000005845_2	I
I13E	FAM_I1509	E_coli_GCF_000005845_2	I
I13F	FAM_I1994	E_coli_GCF_000005845_2	I
I13G	FAM_I1509	E_coli_GCF_000005845_2	I
I13H	FAM_I1095	E_coli_GCF_000005845_2	I
I13I	FAM_I772	E_coli_GCF_000005845_2	I
I13J	FAM_I2119	E_coli_GCF_000005845_2	I
I13K	FAM_I2450	E_coli_GCF_000005845_2	I
I13L	FAM_I92	E_coli_GCF_000005845_2	I
I13M	FAM_I11	E_coli_GCF_000005845_2	I
I13N	FAM_I883	E_coli_GCF_000005845_2	I
I13O	FAM_I2065	E_coli_GCF_000005845_2	I
I13P	FAM_I1055	E_coli_GCF_000005845_2	I
I13Q	FAM_I1017	E_coli_GCF_000005845_2	I
I13R	FAM_I2157	E_coli_GCF_000005845_2	I
I13S	FAM_I672	E_coli_GCF_000005845_2	I
I13T	FAM_I182	E_coli_GCF_000005845_2	I
I13U	FAM_I1755	E_coli_GCF_000005845_2	I
I13V	FAM_I1995	E_coli_GCF_000005845_2	I
I13W	FAM_I2363	E_coli_GCF_000005845_2	I
I13X	FAM_I2467	E_coli_GCF_000005845_2	I
I13Y	FAM_I1416	E_coli_GCF_000005845_2	I
I13Z	FAM_I2118	E_coli_GCF_000005845_2	I
I14	FAM_I2844	E_coli_GCF_000005845_2	I
I140	FAM_I2288	E_coli_GCF_000005845_2	I
I141	FAM_I93	E_coli_GCF_000005845_2	I
I142	FAM_I1681	E_coli_GCF_000005845_2	I
I143	FAM_I297	E_coli_GCF_000005845_2	I
I144	FAM_I636	E_coli_GCF_000005845_2	I
I145	FAM_I2066	E_coli_GCF_000005845_2	I
I146	FAM_I2741	E_coli_GCF_000005845_2	I
I147	FAM_I2741	E_coli_GCF_000005845_2	I
I148	FAM_I2280	E_coli_GCF_000005845_2	I
I149	FAM_I551	E_coli_GCF_000005845_2	I
I14A	FAM_I430	E_coli_GCF_000005845_2	I
I14B	FAM_I183	E_coli_GCF_000005845_2	I
I14C	FAM_I1756	E_coli_GCF_000005845_2	I
I14D	FAM_I1996	E_coli_GCF_000005845_2	I
I14E	FAM_I2364	E_coli_GCF_000005845_2	I
I14F	FAM_I232	E_coli_GCF_000005845_2	I
I14G	FAM_I1615	E_coli_GCF_000005845_2	I
I14H	FAM_I21	E_coli_GCF_000005845_2	I
I14I	FAM_I2274	E_coli_GCF_000005845_2	I
I14J	FAM_I1948	E_coli_GCF_000005845_2	I
I14K	FAM_I298	E_coli_GCF_000005845_2	I
I14L	FAM_I637	E_coli_GCF_000005845_2	I
I14M	FAM_I2067	E_coli_GCF_000005845_2	I
I14N	FAM_I2299	E_coli_GCF_000005845_2	I
I14O	FAM_I1148	E_coli_GCF_000005845_2	I
I14P	FAM_I1173	E_coli_GCF_000005845_2	I
I14Q	FAM_I1173	E_coli_GCF_000005845_2	I
I14R	SING_I14R	E_coli_GCF_000005845_2	I
I14S	SING_I14S	E_coli_GCF_000005845_2	I
I14T	SING_I14T	E_coli_GCF_000005845_2	I
I14U	SING_I14U	E_coli_GCF_000005845_2	I
I14V	SING_I14V	E_coli_GCF_000005845_2	I
I14W	SING_I14W	E_coli_GCF_000005845_2	I
I14X	SING_I14X	E_coli_GCF_000005845_2	I
I14Y	FAM_I1525	E_coli_GCF_000005845_2	I
I14Z	SING_I14Z	E_coli_GCF_000005845_2	I
I15	FAM_I1162	E_coli_GCF_000005845_2	I
I150	SING_I150	E_coli_GCF_000005845_2	I
I151	SING_I151	E_coli_GCF_000005845_2	I
I152	FAM_I2735	E_coli_GCF_000005845_2	I
I153	SING_I153	E_coli_GCF_000005845_2	I
I154	FAM_I1997	E_coli_GCF_000005845_2	I
I155	SING_I155	E_coli_GCF_000005845_2	I
I156	FAM_I1491	E_coli_GCF_000005845_2	I
I157	FAM_I1276	E_coli_GCF_000005845_2	I
I158	FAM_I671	E_coli_GCF_000005845_2	I
I159	FAM_I550	E_coli_GCF_000005845_2	I
I15A	FAM_I429	E_coli_GCF_000005845_2	I
I15B	FAM_I299	E_coli_GCF_000005845_2	I
I15C	FAM_I639	E_coli_GCF_000005845_2	I
I15D	FAM_I94	E_coli_GCF_000005845_2	I
I15E	FAM_I2563	E_coli_GCF_000005845_2	I
I15F	FAM_I1949	E_coli_GCF_000005845_2	I
I15G	FAM_I492	E_coli_GCF_000005845_2	I
I15H	FAM_I1758	E_coli_GCF_000005845_2	I
I15I	FAM_I1998	E_coli_GCF_000005845_2	I
I15J	FAM_I2365	E_coli_GCF_000005845_2	I
I15K	FAM_I1096	E_coli_GCF_000005845_2	I
I15L	FAM_I1226	E_coli_GCF_000005845_2	I
I15M	FAM_I1796	E_coli_GCF_000005845_2	I
I15N	FAM_I1236	E_coli_GCF_000005845_2	I
I15O	FAM_I1236	E_coli_GCF_000005845_2	I
I15P	FAM_I300	E_coli_GCF_000005845_2	I
I15Q	FAM_I882	E_coli_GCF_000005845_2	I
I15R	FAM_I428	E_coli_GCF_000005845_2	I
I15S	FAM_I2117	E_coli_GCF_000005845_2	I
I15T	FAM_I95	E_coli_GCF_000005845_2	I
I15U	FAM_I1174	E_coli_GCF_000005845_2	I
I15V	FAM_I1759	E_coli_GCF_000005845_2	I
I15W	FAM_I1999	E_coli_GCF_000005845_2	I
I15X	FAM_I2366	E_coli_GCF_000005845_2	I
I15Y	FAM_I2857	E_coli_GCF_000005845_2	I
I15Z	FAM_I773	E_coli_GCF_000005845_2	I
I16	FAM_I1523	E_coli_GCF_000005845_2	I
I160	FAM_I1260	E_coli_GCF_000005845_2	I
I161	FAM_I2275	E_coli_GCF_000005845_2	I
I162	FAM_I2450	E_coli_GCF_000005845_2	I
I163	FAM_I12	E_coli_GCF_000005845_2	I
I164	FAM_I640	E_coli_GCF_000005845_2	I
I165	FAM_I1900	E_coli_GCF_000005845_2	I
I166	FAM_I2666	E_coli_GCF_000005845_2	I
I167	FAM_I2666	E_coli_GCF_000005845_2	I
I168	FAM_I1175	E_coli_GCF_000005845_2	I
I169	FAM_I96	E_coli_GCF_000005845_2	I
I16A	FAM_I2888	E_coli_GCF_000005845_2	I
I16B	SING_I16B	E_coli_GCF_000005845_2	I
I16C	FAM_I2333	E_coli_GCF_000005845_2	I
I16D	FAM_I2546	E_coli_GCF_000005845_2	I
I16E	FAM_I1760	E_coli_GCF_000005845_2	I
I16F	FAM_I2000	E_coli_GCF_000005845_2	I
I16G	FAM_I2367	E_coli_GCF_000005845_2	I
I16H	FAM_I1097	E_coli_GCF_000005845_2	I
I16I	FAM_I1420	E_coli_GCF_000005845_2	I
I16J	FAM_I1605	E_coli_GCF_000005845_2	I
I16K	FAM_I2156	E_coli_GCF_000005845_2	I
I16L	FAM_I1441	E_coli_GCF_000005845_2	I
I16M	FAM_I881	E_coli_GCF_000005845_2	I
I16N	FAM_I427	E_coli_GCF_000005845_2	I
I16O	FAM_I2429	E_coli_GCF_000005845_2	I
I16P	FAM_I97	E_coli_GCF_000005845_2	I
I16Q	FAM_I1682	E_coli_GCF_000005845_2	I
I16R	FAM_I1313	E_coli_GCF_000005845_2	I
I16S	FAM_I185	E_coli_GCF_000005845_2	I
I16T	FAM_I2001	E_coli_GCF_000005845_2	I
I16U	FAM_I2368	E_coli_GCF_000005845_2	I
I16V	FAM_I1098	E_coli_GCF_000005845_2	I
I16W	FAM_I2594	E_coli_GCF_000005845_2	I
I16X	FAM_I1321	E_coli_GCF_000005845_2	I
I16Y	FAM_I1795	E_coli_GCF_000005845_2	I
I16Z	FAM_I1416	E_coli_GCF_000005845_2	I
I17	FAM_I1523	E_coli_GCF_000005845_2	I
I170	FAM_I301	E_coli_GCF_000005845_2	I
I171	FAM_I670	E_coli_GCF_000005845_2	I
I172	FAM_I549	E_coli_GCF_000005845_2	I
I173	FAM_I426	E_coli_GCF_000005845_2	I
I174	FAM_I1149	E_coli_GCF_000005845_2	I
I175	FAM_I98	E_coli_GCF_000005845_2	I
I176	SING_I176	E_coli_GCF_000005845_2	I
I177	FAM_I2887	E_coli_GCF_000005845_2	I
I178	FAM_I186	E_coli_GCF_000005845_2	I
I179	FAM_I1761	E_coli_GCF_000005845_2	I
I17A	FAM_I2002	E_coli_GCF_000005845_2	I
I17B	FAM_I2369	E_coli_GCF_000005845_2	I
I17C	FAM_I1009	E_coli_GCF_000005845_2	I
I17D	FAM_I2844	E_coli_GCF_000005845_2	I
I17E	FAM_I2541	E_coli_GCF_000005845_2	I
I17F	FAM_I1794	E_coli_GCF_000005845_2	I
I17G	FAM_I2502	E_coli_GCF_000005845_2	I
I17H	FAM_I302	E_coli_GCF_000005845_2	I
I17I	FAM_I641	E_coli_GCF_000005845_2	I
I17J	FAM_I548	E_coli_GCF_000005845_2	I
I17K	FAM_I425	E_coli_GCF_000005845_2	I
I17L	FAM_I99	E_coli_GCF_000005845_2	I
I17M	FAM_I866	E_coli_GCF_000005845_2	I
I17N	FAM_I371	E_coli_GCF_000005845_2	I
I17O	FAM_I187	E_coli_GCF_000005845_2	I
I17P	FAM_I1762	E_coli_GCF_000005845_2	I
I17Q	FAM_I949	E_coli_GCF_000005845_2	I
I17R	FAM_I2370	E_coli_GCF_000005845_2	I
I17S	FAM_I1099	E_coli_GCF_000005845_2	I
I17T	FAM_I774	E_coli_GCF_000005845_2	I
I17U	FAM_I1320	E_coli_GCF_000005845_2	I
I17V	FAM_I930	E_coli_GCF_000005845_2	I
I17W	FAM_I2501	E_coli_GCF_000005845_2	I
I17X	FAM_I303	E_coli_GCF_000005845_2	I
I17Y	FAM_I642	E_coli_GCF_000005845_2	I
I17Z	FAM_I2068	E_coli_GCF_000005845_2	I
I18	FAM_I1638	E_coli_GCF_000005845_2	I
I180	FAM_I2749	E_coli_GCF_000005845_2	I
I181	FAM_I2614	E_coli_GCF_000005845_2	I
I182	FAM_I1683	E_coli_GCF_000005845_2	I
I183	FAM_I1832	E_coli_GCF_000005845_2	I
I184	FAM_I188	E_coli_GCF_000005845_2	I
I185	SING_I185	E_coli_GCF_000005845_2	I
I186	FAM_I1413	E_coli_GCF_000005845_2	I
I187	FAM_I1336	E_coli_GCF_000005845_2	I
I188	FAM_I933	E_coli_GCF_000005845_2	I
I189	FAM_I304	E_coli_GCF_000005845_2	I
I18A	FAM_I643	E_coli_GCF_000005845_2	I
I18B	FAM_I1893	E_coli_GCF_000005845_2	I
I18C	FAM_I547	E_coli_GCF_000005845_2	I
I18D	FAM_I1416	E_coli_GCF_000005845_2	I
I18E	FAM_I1150	E_coli_GCF_000005845_2	I
I18F	FAM_I1176	E_coli_GCF_000005845_2	I
I18G	FAM_I2750	E_coli_GCF_000005845_2	I
I18H	FAM_I100	E_coli_GCF_000005845_2	I
I18I	FAM_I1684	E_coli_GCF_000005845_2	I
I18J	FAM_I1950	E_coli_GCF_000005845_2	I
I18K	FAM_I2334	E_coli_GCF_000005845_2	I
I18L	FAM_I1056	E_coli_GCF_000005845_2	I
I18M	FAM_I950	E_coli_GCF_000005845_2	I
I18N	FAM_I2728	E_coli_GCF_000005845_2	I
I18O	FAM_I760	E_coli_GCF_000005845_2	I
I18P	FAM_I816	E_coli_GCF_000005845_2	I
I18Q	FAM_I2500	E_coli_GCF_000005845_2	I
I18R	FAM_I669	E_coli_GCF_000005845_2	I
I18S	FAM_I880	E_coli_GCF_000005845_2	I
I18T	FAM_I424	E_coli_GCF_000005845_2	I
I18U	FAM_I2430	E_coli_GCF_000005845_2	I
I18V	FAM_I1151	E_coli_GCF_000005845_2	I
I18W	FAM_I2886	E_coli_GCF_000005845_2	I
I18X	FAM_I1833	E_coli_GCF_000005845_2	I
I18Y	FAM_I1833	E_coli_GCF_000005845_2	I
I18Z	FAM_I189	E_coli_GCF_000005845_2	I
I19	FAM_I478	E_coli_GCF_000005845_2	I
I190	FAM_I1764	E_coli_GCF_000005845_2	I
I191	FAM_I2003	E_coli_GCF_000005845_2	I
I192	FAM_I2371	E_coli_GCF_000005845_2	I
I193	FAM_I1108	E_coli_GCF_000005845_2	I
I194	FAM_I2892	E_coli_GCF_000005845_2	I
I195	FAM_I1311	E_coli_GCF_000005845_2	I
I196	FAM_I2155	E_coli_GCF_000005845_2	I
I197	FAM_I2150	E_coli_GCF_000005845_2	I
I198	FAM_I305	E_coli_GCF_000005845_2	I
I199	FAM_I423	E_coli_GCF_000005845_2	I
I19A	FAM_I2291	E_coli_GCF_000005845_2	I
I19B	FAM_I2116	E_coli_GCF_000005845_2	I
I19C	FAM_I1177	E_coli_GCF_000005845_2	I
I19D	FAM_I101	E_coli_GCF_000005845_2	I
I19E	FAM_I190	E_coli_GCF_000005845_2	I
I19F	FAM_I1765	E_coli_GCF_000005845_2	I
I19G	FAM_I2556	E_coli_GCF_000005845_2	I
I19H	FAM_I2556	E_coli_GCF_000005845_2	I
I19I	FAM_I1100	E_coli_GCF_000005845_2	I
I19J	FAM_I775	E_coli_GCF_000005845_2	I
I19K	FAM_I2550	E_coli_GCF_000005845_2	I
I19L	FAM_I2395	E_coli_GCF_000005845_2	I
I19M	FAM_I2032	E_coli_GCF_000005845_2	I
I19N	FAM_I306	E_coli_GCF_000005845_2	I
I19O	FAM_I879	E_coli_GCF_000005845_2	I
I19P	FAM_I1194	E_coli_GCF_000005845_2	I
I19Q	SING_I19Q	E_coli_GCF_000005845_2	I
I19R	FAM_I1448	E_coli_GCF_000005845_2	I
I19S	FAM_I2751	E_coli_GCF_000005845_2	I
I19T	FAM_I1629	E_coli_GCF_000005845_2	I
I19U	FAM_I2822	E_coli_GCF_000005845_2	I
I19V	FAM_I2265	E_coli_GCF_000005845_2	I
I19W	FAM_I2694	E_coli_GCF_000005845_2	I
I19X	FAM_I1931	E_coli_GCF_000005845_2	I
I19Y	FAM_I2031	E_coli_GCF_000005845_2	I
I19Z	FAM_I1338	E_coli_GCF_000005845_2	I
I1A	FAM_I2141	E_coli_GCF_000005845_2	I
I1A0	FAM_I13	E_coli_GCF_000005845_2	I
I1A1	FAM_I2797	E_coli_GCF_000005845_2	I
I1A2	FAM_I2070	E_coli_GCF_000005845_2	I
I1A3	FAM_I1514	E_coli_GCF_000005845_2	I
I1A4	FAM_I1152	E_coli_GCF_000005845_2	I
I1A5	FAM_I1178	E_coli_GCF_000005845_2	I
I1A6	FAM_I1319	E_coli_GCF_000005845_2	I
I1A7	FAM_I192	E_coli_GCF_000005845_2	I
I1A8	FAM_I1766	E_coli_GCF_000005845_2	I
I1A9	FAM_I102	E_coli_GCF_000005845_2	I
I1AA	FAM_I369	E_coli_GCF_000005845_2	I
I1AB	FAM_I546	E_coli_GCF_000005845_2	I
I1AC	FAM_I422	E_coli_GCF_000005845_2	I
I1AD	FAM_I1057	E_coli_GCF_000005845_2	I
I1AE	FAM_I231	E_coli_GCF_000005845_2	I
I1AF	FAM_I1339	E_coli_GCF_000005845_2	I
I1AG	FAM_I987	E_coli_GCF_000005845_2	I
I1AH	FAM_I817	E_coli_GCF_000005845_2	I
I1AI	FAM_I1614	E_coli_GCF_000005845_2	I
I1AJ	FAM_I644	E_coli_GCF_000005845_2	I
I1AK	FAM_I2071	E_coli_GCF_000005845_2	I
I1AL	FAM_I1300	E_coli_GCF_000005845_2	I
I1AM	FAM_I1314	E_coli_GCF_000005845_2	I
I1AN	FAM_I193	E_coli_GCF_000005845_2	I
I1AO	FAM_I1767	E_coli_GCF_000005845_2	I
I1AP	FAM_I103	E_coli_GCF_000005845_2	I
I1AQ	FAM_I1685	E_coli_GCF_000005845_2	I
I1AR	FAM_I545	E_coli_GCF_000005845_2	I
I1AS	FAM_I2335	E_coli_GCF_000005845_2	I
I1AT	FAM_I1413	E_coli_GCF_000005845_2	I
I1AU	FAM_I951	E_coli_GCF_000005845_2	I
I1AV	FAM_I1261	E_coli_GCF_000005845_2	I
I1AW	FAM_I988	E_coli_GCF_000005845_2	I
I1AX	FAM_I929	E_coli_GCF_000005845_2	I
I1AY	FAM_I2857	E_coli_GCF_000005845_2	I
I1AZ	FAM_I1532	E_coli_GCF_000005845_2	I
